date,open,high,low,close,volume,amount,nav,premium_pct,premium_ma5
2025-02-13,1.613,1.619,1.611,1.618,307940100,496805634,1.585,2.082018927444804,
2025-02-14,1.629,1.631,1.625,1.629,432655268,704742254,1.591,2.388434946574484,
2025-02-17,1.629,1.632,1.624,1.63,378669100,616381396,1.59,2.5157232704402395,
2025-02-18,1.629,1.643,1.628,1.643,414746300,677736026,1.594,3.07402760351317,
2025-02-19,1.639,1.639,1.633,1.636,425791200,696400934,1.595,2.5705329153604968,2.5261475326666387
2025-02-20,1.63,1.63,1.621,1.622,314234300,510769863,1.587,2.205419029615636,2.550827553100805
2025-02-21,1.616,1.618,1.607,1.611,533298500,859547131,1.554,3.667953667953664,2.806731297376641
2025-02-24,1.581,1.592,1.579,1.59,513558400,813957993,1.536,3.5156250000000027,3.006711643288594
2025-02-25,1.568,1.571,1.563,1.565,397546000,622802938,1.517,3.164139749505606,3.024734072487081
2025-02-26,1.555,1.563,1.548,1.561,484115138,753110166,1.521,2.62984878369494,3.0365972461539696
2025-02-27,1.553,1.573,1.551,1.571,482647300,753189564,1.479,6.220419202163614,3.8395972806635656
2025-02-28,1.53,1.531,1.51,1.511,986276100,1497271535,1.503,0.5322687957418502,3.2124603062212023
2025-03-03,1.528,1.544,1.527,1.542,650785902,998516714,1.47,4.897959183673474,3.488927142955897
2025-03-04,1.505,1.516,1.499,1.515,697073545,1050011766,1.465,3.4129692832764382,3.5386930497100635
2025-03-05,1.515,1.551,1.509,1.533,1115506482,1703965426,1.484,3.301886792452826,3.6731006514616404
2025-03-06,1.536,1.542,1.534,1.534,454648100,699104572,1.442,6.380027739251045,3.705022358879127
2025-03-07,1.505,1.509,1.498,1.5,531224400,798677872,1.453,3.2346868547832024,4.245505970687397
2025-03-10,1.498,1.503,1.494,1.496,354857703,531596757,1.399,6.933523945675481,4.652618923087799
2025-03-11,1.429,1.431,1.369,1.428,2061257480,2917437259,1.395,2.3655913978494563,4.443143346002403
2025-03-12,1.425,1.437,1.422,1.432,908138700,1298969399,1.41,1.560283687943264,4.0948227251004905
2025-03-13,1.444,1.445,1.419,1.424,984265605,1408128820,1.384,2.890173410404627,3.396851859331206
2025-03-14,1.419,1.45,1.417,1.438,1210200066,1733721360,1.418,1.4104372355430197,3.0320019354831698
