date,close_513100,nav_513100,premium_pct_513100,close_513870,nav_513870,premium_pct_513870
2024-02-19,1.301,1.269,2.5216706067769925,1.213,1.1981,1.2436357566146512
2024-02-20,1.299,1.26,3.095238095238089,1.205,1.1891,1.3371457404759923
2024-02-21,1.282,1.254,2.232854864433814,1.193,1.1842,0.7431177166019374
2024-02-22,1.304,1.292,0.9287925696594436,1.212,1.2195,-0.6150061500615057
2024-02-23,1.321,1.288,2.5621118012422297,1.227,1.2158,0.9212041454186625
2024-02-26,1.308,1.287,1.631701631701642,1.219,1.2158,0.26320118440533735
2024-02-27,1.306,1.29,1.240310077519381,1.219,1.2177,0.10675864334401568
2024-02-28,1.309,1.283,2.0265003897116154,1.223,1.2114,0.9575697540036365
2024-02-29,1.3,1.295,0.38610038610039504,1.215,1.2223,-0.597234721426807
2024-03-01,1.321,1.314,0.532724505327237,1.233,1.2404,-0.5965817478232709
2024-03-04,1.339,1.308,2.370030581039749,1.246,1.2348,0.9070294784580579
2024-03-05,1.329,1.284,3.5046728971962557,1.236,1.2129,1.9045263418253688
2024-03-06,1.324,1.292,2.4767801857585163,1.226,1.2206,0.4424053744060357
2024-03-07,1.315,1.312,0.2286585365853576,1.223,1.2391,-1.299330158986361
2024-03-08,1.337,1.292,3.4829721362229047,1.245,1.2197,2.074280560793646
2024-03-11,1.317,1.287,2.3310023310023333,1.227,1.215,0.9876543209876552
2024-03-12,1.322,1.306,1.225114854517612,1.229,1.2328,-0.3082414016872002
2024-03-13,1.33,1.294,2.7820710973724907,1.24,1.2221,1.4646919237378306
2024-03-14,1.324,1.291,2.5561580170410645,1.236,1.2193,1.3696383170671644
2024-03-15,1.316,1.277,3.0540328895849767,1.224,1.2054,1.5430562468889952
2024-03-18,1.316,1.289,2.094647013188529,1.221,1.2167,0.3534149749322095
2024-03-19,1.309,1.293,1.237432327919568,1.221,1.2205,0.040966816878342235
2024-03-20,1.314,1.308,0.4587155963302756,1.227,1.2344,-0.5994815294879983
2024-03-21,1.337,1.313,1.8278750952018297,1.25,1.2393,0.8633906237392022
2024-03-22,1.338,1.315,1.749049429657805,1.25,1.2416,0.6765463917525744
2024-03-25,1.334,1.311,1.7543859649122906,1.248,1.2372,0.8729388942773941
2024-03-26,1.341,1.305,2.7586206896551753,1.252,1.2317,1.6481286027441735
2024-03-27,1.342,1.31,2.4427480916030553,1.253,1.2366,1.326217046741062
2024-03-28,1.339,1.308,2.370030581039749,1.252,1.2348,1.3929381276320139
2024-03-29,1.337,1.308,2.2171253822629904,1.25,1.2348,1.2309685779073618
2024-04-01,1.344,1.31,2.5954198473282464,1.259,1.2371,1.7702691779160784
2024-04-02,1.34,1.299,3.1562740569669088,1.255,1.226,2.3654159869494222
2024-04-03,1.327,1.301,1.9984627209838606,1.241,1.2282,1.0421755414427736
2024-04-08,1.326,1.297,2.2359290670778824,1.241,1.224,1.3888888888888993
2024-04-09,1.328,1.302,1.996927803379418,1.244,1.2292,1.204035144809626
2024-04-10,1.333,1.291,3.2532920216886168,1.248,1.2182,2.4462321457888727
2024-04-11,1.321,1.312,0.6859756097560896,1.237,1.2382,-0.09691487643352188
2024-04-12,1.341,1.29,3.9534883720930183,1.257,1.2177,3.2273959103227305
